state,location_type,Paxlovid Availability Rate,Lagevrio Availability Rate,Veklury Availability Rate
AK,Rural,0.2542372881355932,0.2796610169491525,0.0
AK,Urban,0.0,0.5,0.0
AL,Rural,0.24737210932025228,0.21163279607568325,0.0
AL,Urban,0.5283018867924528,0.32075471698113206,0.0
AR,Rural,0.197136563876652,0.16409691629955947,0.0
AR,Urban,0.42424242424242425,0.30303030303030304,0.0
AZ,Rural,0.2684563758389262,0.2058165548098434,0.0
AZ,Urban,0.4786729857819905,0.3886255924170616,0.0
CA,Rural,0.20142890066835675,0.1290619958515787,0.0004609356994699239
CA,Urban,0.4864664441972562,0.3604004449388209,0.0
CO,Rural,0.16968911917098445,0.13730569948186527,0.0
CO,Urban,0.43388429752066116,0.3347107438016529,0.0
CT,Rural,0.3683409436834094,0.3120243531202435,0.0
CT,Urban,0.582010582010582,0.49206349206349204,0.0
DC,Rural,0.017857142857142856,0.0,0.0
DC,Urban,0.5882352941176471,0.5,0.0
DE,Rural,0.3961352657004831,0.24154589371980675,0.0
DE,Urban,0.37037037037037035,0.2222222222222222,0.0
FL,Rural,0.23294183445190156,0.16890380313199105,0.0
FL,Urban,0.449025069637883,0.3080779944289694,0.0005571030640668524
GA,Rural,0.25044091710758376,0.21693121693121692,0.0
GA,Urban,0.37577639751552794,0.3198757763975155,0.0
GU,Rural,0.0,0.0,0.0
HI,Rural,0.2857142857142857,0.2742857142857143,0.0
HI,Urban,0.40384615384615385,0.4423076923076923,0.0
IA,Rural,0.1918918918918919,0.16216216216216217,0.002702702702702703
IA,Urban,0.27906976744186046,0.3488372093023256,0.0
ID,Rural,0.14325068870523416,0.07988980716253444,0.0027548209366391185
ID,Urban,0.5,0.3125,0.0
IL,Rural,0.24010989010989012,0.16758241758241757,0.0005494505494505495
IL,Urban,0.4788135593220339,0.3870056497175141,0.0
IN,Rural,0.3548387096774194,0.3118279569892473,0.0024813895781637717
IN,Urban,0.48951048951048953,0.3706293706293706,0.0
KS,Rural,0.19318181818181818,0.19967532467532467,0.003246753246753247
KS,Urban,0.5339805825242718,0.3592233009708738,0.009708737864077669
KY,Rural,0.1752136752136752,0.1683760683760684,0.0008547008547008547
KY,Urban,0.36904761904761907,0.34523809523809523,0.0
LA,Rural,0.23089840470193115,0.1561712846347607,0.0008396305625524769
LA,Urban,0.6180555555555556,0.2986111111111111,0.0
MA,Rural,0.40159045725646125,0.3061630218687873,0.0009940357852882703
MA,Urban,0.6303191489361702,0.4867021276595745,0.0
MD,Rural,0.2710382513661202,0.24153005464480876,0.001092896174863388
MD,Urban,0.4528301886792453,0.3836477987421384,0.0
ME,Rural,0.40896358543417366,0.2857142857142857,0.0056022408963585435
ME,Urban,0.375,0.5625,0.0
MI,Rural,0.21830985915492956,0.14084507042253522,0.00046948356807511736
MI,Urban,0.3394039735099338,0.25,0.0
MN,Rural,0.23792270531400966,0.21256038647342995,0.008454106280193236
MN,Urban,0.5240641711229946,0.36363636363636365,0.0
MO,Rural,0.2685671417854464,0.20180045011252815,0.0007501875468867217
MO,Urban,0.5670103092783505,0.4329896907216495,0.0
MP,Rural,0.0,0.0,0.0
MS,Rural,0.21231155778894473,0.14195979899497488,0.0
MS,Urban,0.6,0.2,0.0
MT,Rural,0.13333333333333333,0.12083333333333333,0.0
MT,Urban,0.36,0.36,0.0
NC,Rural,0.29548332629801605,0.24905023216547068,0.0008442380751371887
NC,Urban,0.4306569343065693,0.3284671532846715,0.0
ND,Rural,0.09803921568627451,0.09803921568627451,0.00980392156862745
ND,Urban,0.2222222222222222,0.2222222222222222,0.0
NE,Rural,0.1570048309178744,0.0893719806763285,0.0024154589371980675
NE,Urban,0.47058823529411764,0.3235294117647059,0.0
NH,Rural,0.5444839857651246,0.3096085409252669,0.0035587188612099642
NH,Urban,0.7727272727272727,0.5,0.0
NJ,Rural,0.2320862396956246,0.20735573874445148,0.0019023462270133164
